cohort_month,cohort_size,observed_cohort_gross_sales,observed_months,month_2_retention_pct,month_3_retention_pct,month_6_retention_pct,month_12_retention_pct,observed_sales_per_customer
2009-12,951,8150802.316,24,35.01577287066246,33.33333333333333,35.96214511041009,49.63196635120926,8570.770048370136
2010-01,368,1269750.252,23,21.467391304347828,32.065217391304344,30.978260869565215,17.934782608695652,3450.408293478261
2010-02,375,964600.055,22,23.466666666666665,22.666666666666664,19.733333333333334,12.533333333333333,2572.2668133333336
2010-03,441,1278729.181,21,19.047619047619047,23.12925170068027,20.408163265306122,14.512471655328799,2899.6126553287986
2010-04,294,531176.171,20,19.047619047619047,19.047619047619047,22.108843537414966,13.945578231292515,1806.7216700680272
2010-05,255,379670.53,19,15.686274509803921,16.862745098039216,25.49019607843137,13.333333333333334,1488.9040392156865
2010-06,267,583235.55,18,17.60299625468165,18.726591760299627,28.46441947565543,13.857677902621724,2184.4028089887643
2010-07,185,290752.12,17,15.675675675675677,18.37837837837838,14.054054054054054,14.594594594594595,1571.633081081081
2010-08,163,234449.13,16,19.631901840490798,28.834355828220858,11.65644171779141,11.65644171779141,1438.3382208588957
2010-09,239,579372.641,15,23.01255230125523,23.430962343096233,10.460251046025103,10.0418410041841,2424.1533096234307
2010-10,375,502993.41000000003,14,25.866666666666667,14.666666666666666,8.266666666666666,12.8,1341.3157600000002
2010-11,326,342610.64,13,17.484662576687114,9.509202453987731,8.895705521472392,14.723926380368098,1050.9528834355829
2010-12,76,61290.89,12,9.210526315789473,5.263157894736842,6.578947368421052,19.736842105263158,806.4590789473684
2011-01,72,136065.93,11,16.666666666666664,22.22222222222222,15.277777777777779,,1889.8045833333333
2011-02,125,136096.2,10,16.0,16.0,16.0,,1088.7696
2011-03,179,208688.15,9,17.877094972067038,21.787709497206702,15.083798882681565,,1165.8555865921787
2011-04,106,100622.65,8,24.528301886792452,19.81132075471698,23.58490566037736,,949.2702830188679
2011-05,111,108150.5,7,23.423423423423422,24.324324324324326,20.72072072072072,,974.3288288288288
2011-06,108,93189.16,6,23.14814814814815,21.296296296296298,27.77777777777778,,862.8625925925926
2011-07,101,87581.851,5,20.792079207920793,29.7029702970297,,,867.1470396039604
2011-08,107,123279.12,4,26.168224299065418,29.906542056074763,,,1152.1413084112148
2011-09,188,143334.77,3,27.127659574468083,37.765957446808514,,,762.4189893617021
2011-10,221,131040.09,2,31.674208144796378,,,,592.9415837104073
2011-11,191,79903.35,1,,,,,418.3421465968587
